filename                     ,input_size, scheme, hashing_method, mod_value, bucket_size, strategy , collisions, primary_collisions, secondary_collisions, comparisons, insertions, load_factor, execution_time, memory_usage
scheme_4_LabHashingInput.txt ,70,4, division      ,127,1, linear   ,16,10,6,76,60,0.5,0.0009675,0
scheme_4_input_108.txt       ,108,4, division      ,127,1, linear   ,217,44,173,325,108,0.9,0.0007346,0
scheme_4_input_120.txt       ,120,4, division      ,127,1, linear   ,687,70,617,807,120,1,0.003772,0
scheme_4_input_36.txt        ,36,4, division      ,127,1, linear   ,8,7,1,44,36,0.3,0.0002785,0
scheme_4_input_84.txt        ,84,4, division      ,127,1, linear   ,92,35,57,176,84,0.7,0.0004265,0
scheme_5_LabHashingInput.txt ,70,5, division      ,127,1, quadratic,20,10,10,80,60,0.5,0.0002769,0
scheme_5_input_108.txt       ,108,5, division      ,127,1, quadratic,131,42,89,239,108,0.9,0.003448,0
scheme_5_input_120.txt       ,120,5, division      ,127,1, quadratic,585,65,520,703,118,0.983333,0.002423,0
scheme_5_input_36.txt        ,36,5, division      ,127,1, quadratic,9,7,2,45,36,0.3,0.0002705,0
scheme_5_input_84.txt        ,84,5, division      ,127,1, quadratic,97,34,63,181,84,0.7,0.001557,0
scheme_6_LabHashingInput.txt ,70,6, division      ,127,1, chaining ,10,                   ,                     ,11,60,0.5,0.0003758,0
scheme_6_input_108.txt       ,108,6, division      ,127,1, chaining ,33,                   ,                     ,38,108,0.9,0.0002922,0
scheme_6_input_120.txt       ,120,6, division      ,127,1, chaining ,48,                   ,                     ,66,120,1,0.001447,0
scheme_6_input_36.txt        ,36,6, division      ,127,1, chaining ,6,                   ,                     ,6,36,0.3,0.001589,0
scheme_6_input_84.txt        ,84,6, division      ,127,1, chaining ,23,                   ,                     ,28,84,0.7,0.0003018,0
scheme_7_LabHashingInput.txt ,70,7, division      ,113,1, linear   ,30,17,13,90,60,0.5,0.0009297,0
scheme_7_input_108.txt       ,108,7, division      ,113,1, linear   ,461,51,410,569,108,0.9,0.00104,0
scheme_7_input_120.txt       ,120,7, division      ,113,1, linear   ,662,66,596,782,120,1,0.001531,0
scheme_7_input_36.txt        ,36,7, division      ,113,1, linear   ,5,5,0,41,36,0.3,0.0002302,0
scheme_7_input_84.txt        ,84,7, division      ,113,1, linear   ,105,38,67,189,84,0.7,0.000756,0
scheme_8_LabHashingInput.txt ,70,8, division      ,113,1, quadratic,25,17,8,85,60,0.5,0.0002954,0
scheme_8_input_108.txt       ,108,8, division      ,113,1, quadratic,209,52,157,317,108,0.9,0.0007665,0
scheme_8_input_120.txt       ,120,8, division      ,113,1, quadratic,542,60,482,661,119,0.991667,0.00244,0
scheme_8_input_36.txt        ,36,8, division      ,113,1, quadratic,5,5,0,41,36,0.3,0.0007938,0
scheme_8_input_84.txt        ,84,8, division      ,113,1, quadratic,75,36,39,159,84,0.7,0.0008243,0
scheme_9_LabHashingInput.txt ,70,9, division      ,113,1, chaining ,14,                   ,                     ,14,60,0.5,0.0003859,0
scheme_9_input_108.txt       ,108,9, division      ,113,1, chaining ,36,                   ,                     ,53,108,0.9,0.0005202,0
scheme_9_input_120.txt       ,120,9, division      ,113,1, chaining ,47,                   ,                     ,68,120,1,0.001176,0
scheme_9_input_36.txt        ,36,9, division      ,113,1, chaining ,5,                   ,                     ,5,36,0.3,0.001703,0
scheme_9_input_84.txt        ,84,9, division      ,113,1, chaining ,26,                   ,                     ,31,84,0.7,0.0004769,0
