run_type                          , input_file                     , CLI_Flags                                                                      , hashing_method, mod_value, bucket_size, strategy , c1 , c2  , collisions, primary_collisions, secondary_collisions, comparisons, insertions, load_factor, execution_time_sec, memory_usage_bytes, actual_input_size
scheme_5                          , input_120.txt                  , --hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,127,1, quadratic,0.5,0.5,585,65,520,703,118,0.983333,0.1159,2097000,120
scheme_6                          , input_120.txt                  , --hashing division --mod 127 --bucket 1 --strategy chaining                    , division      ,127,1, chaining ,    ,     ,48,                   ,                     ,66,120,1,0.05698,0,120
scheme_7                          , input_120.txt                  , --hashing division --mod 113 --bucket 1 --strategy linear                      , division      ,113,1, linear   ,    ,     ,662,66,596,782,120,1,0.08117,2097000,120
scheme_8                          , input_120.txt                  , --hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,113,1, quadratic,0.5,0.5,542,60,482,661,119,0.991667,0.1166,2097000,120
scheme_9                          , input_120.txt                  , --hashing division --mod 113 --bucket 1 --strategy chaining                    , division      ,113,1, chaining ,    ,     ,47,                   ,                     ,68,120,1,0.0652,0,120
scheme_10                         , input_120.txt                  , --hashing division --mod 41 --bucket 3 --strategy linear                       , division      ,41,3, linear   ,    ,     ,4835,95,4740,4955,120,1,0.256,7340000,120
scheme_11                         , input_120.txt                  , --hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5  , division      ,41,3, quadratic,0.5,0.5,1066,95,971,1185,119,0.991667,0.1359,2097000,120
scheme_12                         , input_120.txt                  , --hashing custom --bucket 1 --strategy linear                                  , custom        ,          ,1, linear   ,    ,     ,873,57,816,993,120,1,0.09525,2097000,120
scheme_13                         , input_120.txt                  , --hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5             , custom        ,          ,1, quadratic,0.5,0.5,667,58,609,785,118,0.983333,0.06968,1049000,120
scheme_14                         , input_120.txt                  , --hashing custom --bucket 1 --strategy chaining                                , custom        ,          ,1, chaining ,    ,     ,42,                   ,                     ,55,120,1,0.03812,0,120
scheme_1                          , input_36.txt                   , --hashing division --mod 120 --bucket 1 --strategy linear                      , division      ,120,1, linear   ,    ,     ,           ,                   ,                     ,40,36,0.3,0.03772,0,36
scheme_2                          , input_36.txt                   , --hashing division --mod 120 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,120,1, quadratic,0.5,0.5,           ,                   ,                     ,40,36,0.3,0.05151,0,36
scheme_3                          , input_36.txt                   , --hashing division --mod 120 --bucket 1 --strategy chaining                    , division      ,120,1, chaining ,    ,     ,4,                   ,                     ,4,36,0.3,0.03341,0,36
scheme_4                          , input_36.txt                   , --hashing division --mod 127 --bucket 1 --strategy linear                      , division      ,127,1, linear   ,    ,     ,8,7,1,44,36,0.3,0.04044,0,36
scheme_5                          , input_36.txt                   , --hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,127,1, quadratic,0.5,0.5,9,7,2,45,36,0.3,0.05298,0,36
scheme_6                          , input_36.txt                   , --hashing division --mod 127 --bucket 1 --strategy chaining                    , division      ,127,1, chaining ,    ,     ,6,                   ,                     ,6,36,0.3,0.03952,0,36
scheme_7                          , input_36.txt                   , --hashing division --mod 113 --bucket 1 --strategy linear                      , division      ,113,1, linear   ,    ,     ,           ,                   ,                     ,41,36,0.3,0.05539,0,36
scheme_8                          , input_36.txt                   , --hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,113,1, quadratic,0.5,0.5,           ,                   ,                     ,41,36,0.3,0.0413,0,36
scheme_9                          , input_36.txt                   , --hashing division --mod 113 --bucket 1 --strategy chaining                    , division      ,113,1, chaining ,    ,     ,5,                   ,                     ,5,36,0.3,0.06156,0,36
scheme_10                         , input_36.txt                   , --hashing division --mod 41 --bucket 3 --strategy linear                       , division      ,41,3, linear   ,    ,     ,75,15,60,111,36,0.3,0.04375,0,36
scheme_11                         , input_36.txt                   , --hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5  , division      ,41,3, quadratic,0.5,0.5,48,17,31,84,36,0.3,0.06824,0,36
scheme_12                         , input_36.txt                   , --hashing custom --bucket 1 --strategy linear                                  , custom        ,          ,1, linear   ,    ,     ,           ,                   ,                     ,37,36,0.3,0.03504,0,36
scheme_13                         , input_36.txt                   , --hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5             , custom        ,          ,1, quadratic,0.5,0.5,           ,                   ,                     ,37,36,0.3,0.03592,0,36
scheme_14                         , input_36.txt                   , --hashing custom --bucket 1 --strategy chaining                                , custom        ,          ,1, chaining ,    ,     ,1,                   ,                     ,1,36,0.3,0.03632,0,36
scheme_1                          , input_84.txt                   , --hashing division --mod 120 --bucket 1 --strategy linear                      , division      ,120,1, linear   ,    ,     ,78,28,50,162,84,0.7,0.08403,0,84
scheme_2                          , input_84.txt                   , --hashing division --mod 120 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,120,1, quadratic,0.5,0.5,62,29,33,146,84,0.7,0.07179,1049000,84
scheme_3                          , input_84.txt                   , --hashing division --mod 120 --bucket 1 --strategy chaining                    , division      ,120,1, chaining ,    ,     ,25,                   ,                     ,30,84,0.7,0.05526,0,84
scheme_4                          , input_84.txt                   , --hashing division --mod 127 --bucket 1 --strategy linear                      , division      ,127,1, linear   ,    ,     ,92,35,57,176,84,0.7,0.1154,0,84
scheme_5                          , input_84.txt                   , --hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,127,1, quadratic,0.5,0.5,97,34,63,181,84,0.7,0.09747,1049000,84
scheme_6                          , input_84.txt                   , --hashing division --mod 127 --bucket 1 --strategy chaining                    , division      ,127,1, chaining ,    ,     ,23,                   ,                     ,28,84,0.7,0.0581,0,84
scheme_7                          , input_84.txt                   , --hashing division --mod 113 --bucket 1 --strategy linear                      , division      ,113,1, linear   ,    ,     ,105,38,67,189,84,0.7,0.06714,1049000,84
scheme_8                          , input_84.txt                   , --hashing division --mod 113 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5 , division      ,113,1, quadratic,0.5,0.5,75,36,39,159,84,0.7,0.07627,1049000,84
scheme_9                          , input_84.txt                   , --hashing division --mod 113 --bucket 1 --strategy chaining                    , division      ,113,1, chaining ,    ,     ,26,                   ,                     ,31,84,0.7,0.05664,0,84
scheme_10                         , input_84.txt                   , --hashing division --mod 41 --bucket 3 --strategy linear                       , division      ,41,3, linear   ,    ,     ,1976,63,1913,2060,84,0.7,0.2249,3146000,84
scheme_11                         , input_84.txt                   , --hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5  , division      ,41,3, quadratic,0.5,0.5,423,63,360,507,84,0.7,0.1222,1049000,84
scheme_12                         , input_84.txt                   , --hashing custom --bucket 1 --strategy linear                                  , custom        ,          ,1, linear   ,    ,     ,48,23,25,132,84,0.7,0.09456,0,84
scheme_13                         , input_84.txt                   , --hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5             , custom        ,          ,1, quadratic,0.5,0.5,50,23,27,134,84,0.7,0.06618,0,84
scheme_14                         , input_84.txt                   , --hashing custom --bucket 1 --strategy chaining                                , custom        ,          ,1, chaining ,    ,     ,19,                   ,                     ,22,84,0.7,0.06447,0,84
