run_type,input_file,input_size,CLI_Flags,hashing_method,mod_value,bucket_size,strategy,c1,c2,collisions,primary_collisions,secondary_collisions,comparisons,insertions,load_factor,execution_time_sec,memory_usage_bytes,input_type
manual_div113_quadratic_c05_025_b3,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.25,division,113.0,3,quadratic,0.5,0.25,52.0,17.0,35.0,112.0,60.0,0.5,0.0002256,0,normal
manual_div113_quadratic_c10_05_b3,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.5,division,113.0,3,quadratic,1.0,0.5,25.0,17.0,8.0,85.0,60.0,0.5,0.0002014,0,normal
manual_div113_quadratic_c10_075_b3,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.75,division,113.0,3,quadratic,1.0,0.75,27.0,18.0,9.0,87.0,60.0,0.5,0.0004075,0,normal
manual_div113_quadratic_c10_025_b3,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.25,division,113.0,3,quadratic,1.0,0.25,24.0,18.0,6.0,84.0,60.0,0.5,0.0004246,0,normal
manual_div113_quadratic_c15_05_b3,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.5,division,113.0,3,quadratic,1.5,0.5,29.0,18.0,11.0,89.0,60.0,0.5,0.0002691,0,normal
manual_div113_quadratic_c15_075_b3,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.75,division,113.0,3,quadratic,1.5,0.75,31.0,17.0,14.0,91.0,60.0,0.5,0.0003638,0,normal
manual_div113_quadratic_c15_025_b3,LabHashingInput.txt,70,--hashing division --mod 113 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.25,division,113.0,3,quadratic,1.5,0.25,26.0,16.0,10.0,86.0,60.0,0.5,0.0001902,0,normal
manual_div127_linear_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy linear,division,127.0,1,linear,,,16.0,10.0,6.0,76.0,60.0,0.5,0.0004044,0,normal
manual_div127_quadratic_c05_05_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,127.0,1,quadratic,0.5,0.5,20.0,10.0,10.0,80.0,60.0,0.5,0.0002107,0,normal
manual_div127_quadratic_c05_075_b1,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.75,division,127.0,1,quadratic,0.5,0.75,17.0,10.0,7.0,77.0,60.0,0.5,0.000188,0,normal
