scheme,strategy,hashing_method,bucket_index,key_count
3,chaining,division,24,0
3,chaining,division,25,1
3,chaining,division,26,0
3,chaining,division,27,0
3,chaining,division,28,0
3,chaining,division,29,1
3,chaining,division,30,0
3,chaining,division,31,1
3,chaining,division,32,0
3,chaining,division,33,0
3,chaining,division,34,1
3,chaining,division,35,0
3,chaining,division,36,1
3,chaining,division,37,1
3,chaining,division,38,0
3,chaining,division,39,2
3,chaining,division,40,1
3,chaining,division,41,0
3,chaining,division,42,0
3,chaining,division,43,1
3,chaining,division,44,0
3,chaining,division,45,2
3,chaining,division,46,0
3,chaining,division,47,0
3,chaining,division,48,1
3,chaining,division,49,0
3,chaining,division,50,0
3,chaining,division,51,2
3,chaining,division,52,0
3,chaining,division,53,0
3,chaining,division,54,0
3,chaining,division,55,0
3,chaining,division,56,0
3,chaining,division,57,0
3,chaining,division,58,1
3,chaining,division,59,2
3,chaining,division,60,0
3,chaining,division,61,2
3,chaining,division,62,1
3,chaining,division,63,0
3,chaining,division,64,0
3,chaining,division,65,2
3,chaining,division,66,0
3,chaining,division,67,0
3,chaining,division,68,0
3,chaining,division,69,0
3,chaining,division,70,0
3,chaining,division,71,3
3,chaining,division,72,0
3,chaining,division,73,1
3,chaining,division,74,0
3,chaining,division,75,0
3,chaining,division,76,0
3,chaining,division,77,1
3,chaining,division,78,0
3,chaining,division,79,1
3,chaining,division,80,1
3,chaining,division,81,1
3,chaining,division,82,0
3,chaining,division,83,1
3,chaining,division,84,0
3,chaining,division,85,0
3,chaining,division,86,0
3,chaining,division,87,1
3,chaining,division,88,0
3,chaining,division,89,0
3,chaining,division,90,1
3,chaining,division,91,3
3,chaining,division,92,0
3,chaining,division,93,0
3,chaining,division,94,0
3,chaining,division,95,0
3,chaining,division,96,0
3,chaining,division,97,0
3,chaining,division,98,0
3,chaining,division,99,1
3,chaining,division,100,0
3,chaining,division,101,2
3,chaining,division,102,0
3,chaining,division,103,0
3,chaining,division,104,0
3,chaining,division,105,0
3,chaining,division,106,0
3,chaining,division,107,1
3,chaining,division,108,0
3,chaining,division,109,0
3,chaining,division,110,0
3,chaining,division,111,1
3,chaining,division,112,0
3,chaining,division,113,1
3,chaining,division,114,0
3,chaining,division,115,1
3,chaining,division,116,1
3,chaining,division,117,0
3,chaining,division,118,1
3,chaining,division,119,1
4,linear,division,0,1
4,linear,division,1,1
4,linear,division,2,1
4,linear,division,3,1
4,linear,division,4,1
4,linear,division,5,0
4,linear,division,6,1
4,linear,division,7,1
4,linear,division,8,0
4,linear,division,9,0
4,linear,division,10,0
4,linear,division,11,1
4,linear,division,12,1
4,linear,division,13,1
4,linear,division,14,1
4,linear,division,15,1
4,linear,division,16,1
4,linear,division,17,1
4,linear,division,18,1
4,linear,division,19,0
4,linear,division,20,0
4,linear,division,21,1
4,linear,division,22,0
4,linear,division,23,0
4,linear,division,24,1
4,linear,division,25,0
4,linear,division,26,0
4,linear,division,27,1
4,linear,division,28,1
4,linear,division,29,1
4,linear,division,30,0
4,linear,division,31,1
4,linear,division,32,1
4,linear,division,33,1
4,linear,division,34,1
4,linear,division,35,1
4,linear,division,36,0
4,linear,division,37,0
4,linear,division,38,0
4,linear,division,39,0
4,linear,division,40,1
4,linear,division,41,0
4,linear,division,42,0
4,linear,division,43,0
4,linear,division,44,1
4,linear,division,45,1
4,linear,division,46,0
4,linear,division,47,0
4,linear,division,48,0
4,linear,division,49,0
4,linear,division,50,1
4,linear,division,51,1
4,linear,division,52,1
4,linear,division,53,0
4,linear,division,54,1
4,linear,division,55,1
4,linear,division,56,1
4,linear,division,57,1
4,linear,division,58,0
4,linear,division,59,0
4,linear,division,60,0
4,linear,division,61,0
4,linear,division,62,1
4,linear,division,63,1
4,linear,division,64,0
4,linear,division,65,0
4,linear,division,66,1
4,linear,division,67,0
4,linear,division,68,0
4,linear,division,69,0
4,linear,division,70,1
4,linear,division,71,0
4,linear,division,72,1
4,linear,division,73,0
4,linear,division,74,0
4,linear,division,75,1
4,linear,division,76,0
4,linear,division,77,0
4,linear,division,78,0
4,linear,division,79,0
4,linear,division,80,1
4,linear,division,81,0
4,linear,division,82,0
4,linear,division,83,1
4,linear,division,84,0
4,linear,division,85,1
4,linear,division,86,0
4,linear,division,87,0
4,linear,division,88,1
4,linear,division,89,1
4,linear,division,90,0
4,linear,division,91,1
4,linear,division,92,1
4,linear,division,93,1
4,linear,division,94,0
4,linear,division,95,1
4,linear,division,96,1
4,linear,division,97,0
4,linear,division,98,0
4,linear,division,99,1
4,linear,division,100,0
4,linear,division,101,0
4,linear,division,102,0
4,linear,division,103,0
4,linear,division,104,1
4,linear,division,105,0
4,linear,division,106,1
4,linear,division,107,0
